id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,title,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens
1077501,1296599,5000,5000,4975.0, 36 months,10.65,162.87,B,B2,Not Provided,10+ years,RENT,24000.0,Verified,Dec-11,Fully Paid,n,credit_card,Computer,AZ,27.65,0,Jan-85,1,3,0,13648,83.7,9,f,0.0,0.0,5863.155187,5833.84,5000.0,863.16,0.0,0.0,Jan-15,171.62,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1077430,1314167,2500,2500,2500.0, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000.0,Source Verified,Dec-11,Charged Off,n,car,bike,GA,1.0,0,Apr-99,5,3,0,1687,9.4,4,f,0.0,0.0,1008.71,1008.71,456.46,435.17,0.0,117.08,Apr-13,119.66,Sep-13,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1077175,1313524,2400,2400,2400.0, 36 months,15.96,84.33,C,C5,Not Provided,10+ years,RENT,12252.0,Not Verified,Dec-11,Fully Paid,n,small_business,real estate business,IL,8.72,0,Nov-01,2,2,0,2956,98.5,10,f,0.0,0.0,3005.666844,3005.67,2400.0,605.67,0.0,0.0,Jun-14,649.91,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1076863,1277178,10000,10000,10000.0, 36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200.0,Source Verified,Dec-11,Fully Paid,n,other,personel,CA,20.0,0,Feb-96,1,10,0,5598,21.0,37,f,0.0,0.0,12231.89,12231.89,10000.0,2214.92,16.97,0.0,Jan-15,357.48,Apr-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1075358,1311748,3000,3000,3000.0, 60 months,12.69,67.79,B,B5,University Medical Group,1 year,RENT,80000.0,Source Verified,Dec-11,Current,n,other,Personal,OR,17.94,0,Jan-96,0,15,0,27783,53.9,38,f,524.06,524.06,3513.33,3513.33,2475.94,1037.39,0.0,0.0,May-16,67.79,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1075269,1311441,5000,5000,5000.0, 36 months,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000.0,Source Verified,Dec-11,Fully Paid,n,wedding,My wedding loan I promise to pay back,AZ,11.2,0,Nov-04,3,9,0,7963,28.3,12,f,0.0,0.0,5632.21,5632.21,5000.0,632.21,0.0,0.0,Jan-15,161.03,Jan-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069639,1304742,7000,7000,7000.0, 60 months,15.96,170.08,C,C5,Southern Star Photography,8 years,RENT,47004.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Loan,NC,23.51,0,Jul-05,1,7,0,17726,85.6,11,f,0.0,0.0,10110.84,10110.84,6985.61,3125.23,0.0,0.0,May-16,1313.76,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1072053,1288686,3000,3000,3000.0, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000.0,Source Verified,Dec-11,Fully Paid,n,car,Car Downpayment,CA,5.35,0,Jan-07,2,4,0,8221,87.5,4,f,0.0,0.0,3939.135294,3939.14,3000.0,939.14,0.0,0.0,Jan-15,111.34,Dec-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1071795,1306957,5600,5600,5600.0, 60 months,21.28,152.39,F,F2,Not Provided,4 years,OWN,40000.0,Source Verified,Dec-11,Charged Off,n,small_business,Expand Business & Buy Debt Portfolio,CA,5.55,0,Apr-04,2,11,0,5210,32.6,13,f,0.0,0.0,646.02,646.02,162.02,294.94,0.0,189.06,Apr-12,152.39,Aug-12,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1071570,1306721,5375,5375,5350.0, 60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000.0,Verified,Dec-11,Charged Off,n,other,Building my credit history.,TX,18.08,0,Sep-04,0,2,0,9279,36.5,3,f,0.0,0.0,1476.19,1469.34,673.48,533.42,0.0,269.29,Nov-12,121.45,Mar-13,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1070078,1305201,6500,6500,6500.0, 60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,High intrest Consolidation,AZ,16.12,0,Jan-98,2,14,0,4032,20.6,23,f,0.0,0.0,7678.017673,7678.02,6500.0,1178.02,0.0,0.0,Jun-13,1655.54,Dec-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069908,1305008,12000,12000,12000.0, 36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000.0,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Consolidation,CA,10.78,0,Oct-89,0,12,0,23336,67.1,34,f,0.0,0.0,13947.98916,13947.99,12000.0,1947.99,0.0,0.0,Sep-13,6315.3,Aug-13,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1064687,1298717,9000,9000,9000.0, 36 months,13.49,305.38,C,C1,Va. Dept of Conservation/Recreation,< 1 year,RENT,30000.0,Source Verified,Dec-11,Charged Off,n,debt_consolidation,freedom,VA,10.08,0,Apr-04,1,4,0,10452,91.7,9,f,0.0,0.0,2270.7,2270.7,1256.14,570.26,0.0,444.3,Jul-12,305.38,Nov-12,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069866,1304956,3000,3000,3000.0, 36 months,9.91,96.68,B,B1,Target,3 years,RENT,15000.0,Source Verified,Dec-11,Fully Paid,n,credit_card,citicard fund,IL,12.56,0,Jul-03,2,11,0,7323,43.1,11,f,0.0,0.0,3480.269999,3480.27,3000.0,480.27,0.0,0.0,Jan-15,102.43,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069057,1303503,10000,10000,10000.0, 36 months,10.65,325.74,B,B2,SFMTA,3 years,RENT,100000.0,Source Verified,Dec-11,Charged Off,n,other,Other Loan,CA,7.06,0,May-91,2,14,0,11997,55.5,29,f,0.0,0.0,7471.99,7471.99,5433.47,1393.42,0.0,645.1,Oct-13,325.74,Mar-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069759,1304871,1000,1000,1000.0, 36 months,16.29,35.31,D,D1,Internal revenue Service,< 1 year,RENT,28000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,MO,20.31,0,Sep-07,1,11,0,6524,81.5,23,f,0.0,0.0,1270.716942,1270.72,1000.0,270.72,0.0,0.0,Jan-15,36.32,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1065775,1299699,10000,10000,10000.0, 36 months,15.27,347.98,C,C4,Chin's Restaurant,4 years,RENT,42000.0,Not Verified,Dec-11,Fully Paid,n,home_improvement,Home,CA,18.6,0,Oct-98,2,14,0,24043,70.2,28,f,0.0,0.0,12527.15,12527.15,10000.0,2527.15,0.0,0.0,Jan-15,370.46,Apr-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069971,1304884,3600,3600,3600.0, 36 months,6.03,109.57,A,A1,Duracell,10+ years,MORTGAGE,110000.0,Not Verified,Dec-11,Fully Paid,n,major_purchase,Holiday,CT,10.52,0,Aug-93,0,20,0,22836,16.0,42,f,0.0,0.0,3785.271965,3785.27,3600.0,185.27,0.0,0.0,May-13,583.45,May-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1062474,1294539,6000,6000,6000.0, 36 months,11.71,198.46,B,B3,Connection Inspection,1 year,MORTGAGE,84000.0,Verified,Dec-11,Fully Paid,n,medical,Medical,UT,18.44,2,Oct-03,0,4,0,0,37.73,14,f,0.0,0.0,7167.072893,7167.07,6000.0,1152.07,15.00000003,0.0,Feb-15,16.98,Jul-15,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069742,1304855,9200,9200,9200.0, 36 months,6.03,280.01,A,A1,Network Interpreting Service,6 years,RENT,77385.19,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,lowerratemeanseasiertogetoutofdebt!,CA,9.86,0,Jan-01,0,8,0,7314,23.1,28,f,0.0,0.0,9460.000848,9460.0,9200.0,260.0,0.0,0.0,Jul-12,8061.1,Feb-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069740,1284848,20250,20250,19142.16108, 60 months,15.27,484.63,C,C4,Archdiocese of Galveston Houston,3 years,RENT,43370.0,Verified,Dec-11,Fully Paid,n,debt_consolidation,Freedom From Credit Cards,TX,26.53,0,Nov-97,3,8,0,17813,85.6,22,f,0.0,0.0,27679.05,25433.6,20250.0,7429.05,0.0,0.0,Aug-15,6024.09,Mar-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1039153,1269083,21000,21000,21000.0, 36 months,12.42,701.73,B,B4,Osram Sylvania,10+ years,RENT,105000.0,Verified,Dec-11,Charged Off,n,debt_consolidation,Debt Cleanup,FL,13.22,0,Feb-83,0,7,0,32135,90.3,38,f,0.0,0.0,14025.4,14025.4,10694.96,3330.44,0.0,0.0,Sep-13,701.73,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069710,1304821,10000,10000,10000.0, 36 months,11.71,330.76,B,B3,Value Air,10+ years,OWN,50000.0,Source Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Loan,TX,11.18,0,Jul-85,0,8,0,10056,82.4,21,f,0.0,0.0,11907.35,11907.35,10000.0,1907.35,0.0,0.0,Jan-15,349.21,May-16,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069700,1304810,10000,10000,10000.0, 36 months,11.71,330.76,B,B3,Wells Fargo Bank,5 years,RENT,50000.0,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation,CA,16.01,0,Apr-03,0,6,0,17800,91.8,17,f,0.0,0.0,11540.89198,11540.89,10000.0,1540.89,0.0,0.0,Oct-13,4942.63,Mar-14,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069559,1304634,6000,6000,6000.0, 36 months,11.71,198.46,B,B3,bmg-educational,1 year,RENT,76000.0,Not Verified,Dec-11,Charged Off,n,major_purchase,cash,CA,2.4,0,Jun-01,1,7,0,5963,29.7,7,f,0.0,0.0,2050.14,2050.14,1305.58,475.25,0.0,269.31,Oct-12,198.46,Mar-13,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
1069697,1273773,15000,15000,15000.0, 36 months,9.91,483.38,B,B1,Winfield Pathology Consultants,2 years,MORTGAGE,92000.0,Verified,Dec-11,Fully Paid,n,credit_card,No more credit card debt!,IL,29.44,0,Feb-02,0,8,0,13707,93.9,31,f,0.0,0.0,15823.99905,15824.0,15000.0,824.0,0.0,0.0,Sep-12,2447.05,Sep-12,0.0,INDIVIDUAL,0,0.0,0,0.0,0.0
